2025-01-01 00:00:00 {"sensor_type":"gas","gas_concentration":31.013824462890625}
2025-01-01 00:00:25 {"sensor_type":"gas","gas_concentration":33.5929298400879}
2025-01-01 00:00:26 {"sensor_type":"gas","gas_concentration":34.267784118652344}
2025-01-01 00:00:27 {"sensor_type":"gas","gas_concentration":34.365207672119141}
2025-01-01 00:00:28 {"sensor_type":"gas","gas_concentration":34.365207672119141}
2025-01-01 00:00:29 {"sensor_type":"gas","gas_concentration":33.784488677978516}
2025-01-01 00:00:30 {"sensor_type":"gas","gas_concentration":33.880645751953125}
2025-01-01 00:00:31 {"sensor_type":"gas","gas_concentration":34.170623779296875}
2025-01-01 00:00:32 {"sensor_type":"gas","gas_concentration":34.0737075805664}
2025-01-01 00:00:33 {"sensor_type":"gas","gas_concentration":34.365207672119141}
2025-01-01 00:00:34 {"sensor_type":"gas","gas_concentration":34.0737075805664}
2025-01-01 00:00:35 {"sensor_type":"gas","gas_concentration":33.5929298400879}
2025-01-01 00:00:36 {"sensor_type":"gas","gas_concentration":35.655143737792969}
2025-01-01 00:00:38 {"sensor_type":"gas","gas_concentration":35.453826904296875}
2025-01-01 00:00:39 {"sensor_type":"gas","gas_concentration":35.655143737792969}
2025-01-01 00:00:40 {"sensor_type":"gas","gas_concentration":35.756195068359375}
2025-01-01 00:00:41 {"sensor_type":"gas","gas_concentration":35.353561401367188}
2025-01-01 00:00:42 {"sensor_type":"gas","gas_concentration":36.060951232910156}
2025-01-01 00:00:43 {"sensor_type":"gas","gas_concentration":36.163066864013672}
2025-01-01 00:00:44 {"sensor_type":"gas","gas_concentration":36.574214935302734}
2025-01-01 00:00:45 {"sensor_type":"gas","gas_concentration":36.8854103088379}
2025-01-01 00:00:46 {"sensor_type":"gas","gas_concentration":36.98968505859375}
2025-01-01 00:00:47 {"sensor_type":"gas","gas_concentration":36.781410217285156}
2025-01-01 00:00:48 {"sensor_type":"gas","gas_concentration":36.781410217285156}
2025-01-01 00:00:49 {"sensor_type":"gas","gas_concentration":36.368106842041016}
2025-01-01 00:00:50 {"sensor_type":"gas","gas_concentration":36.574214935302734}
2025-01-01 00:00:51 {"sensor_type":"gas","gas_concentration":37.515174865722656}
2025-01-01 00:00:52 {"sensor_type":"gas","gas_concentration":37.940532684326172}
2025-01-01 00:00:53 {"sensor_type":"gas","gas_concentration":37.62109375}
2025-01-01 00:00:54 {"sensor_type":"gas","gas_concentration":37.515174865722656}
2025-01-01 00:00:55 {"sensor_type":"gas","gas_concentration":37.62109375}
2025-01-01 00:00:56 {"sensor_type":"gas","gas_concentration":36.574214935302734}
2025-01-01 00:00:57 {"sensor_type":"gas","gas_concentration":37.094230651855469}
2025-01-01 00:00:58 {"sensor_type":"gas","gas_concentration":37.094230651855469}
2025-01-01 00:00:59 {"sensor_type":"gas","gas_concentration":37.304153442382812}
2025-01-01 00:01:00 {"sensor_type":"gas","gas_concentration":36.98968505859375}
2025-01-01 00:01:01 {"sensor_type":"gas","gas_concentration":36.781410217285156}
2025-01-01 00:01:02 {"sensor_type":"gas","gas_concentration":37.199058532714844}
2025-01-01 00:01:03 {"sensor_type":"gas","gas_concentration":37.094230651855469}
2025-01-01 00:01:04 {"sensor_type":"gas","gas_concentration":37.409519195556641}
2025-01-01 00:01:05 {"sensor_type":"gas","gas_concentration":37.833770751953125}
2025-01-01 00:01:06 {"sensor_type":"gas","gas_concentration":36.98968505859375}
2025-01-01 00:01:07 {"sensor_type":"gas","gas_concentration":37.515174865722656}
2025-01-01 00:01:08 {"sensor_type":"gas","gas_concentration":37.409519195556641}
2025-01-01 00:01:09 {"sensor_type":"gas","gas_concentration":37.304153442382812}
2025-01-01 00:01:10 {"sensor_type":"gas","gas_concentration":37.409519195556641}
2025-01-01 00:01:11 {"sensor_type":"gas","gas_concentration":37.304153442382812}
2025-01-01 00:01:12 {"sensor_type":"gas","gas_concentration":37.62109375}
2025-01-01 00:01:13 {"sensor_type":"gas","gas_concentration":36.8854103088379}
2025-01-01 00:01:14 {"sensor_type":"gas","gas_concentration":37.62109375}
2025-01-01 00:01:15 {"sensor_type":"gas","gas_concentration":37.515174865722656}
2025-01-01 00:01:16 {"sensor_type":"gas","gas_concentration":37.304153442382812}
2025-01-01 00:01:17 {"sensor_type":"gas","gas_concentration":36.98968505859375}
2025-01-01 00:01:18 {"sensor_type":"gas","gas_concentration":36.781410217285156}
2025-01-01 00:01:19 {"sensor_type":"gas","gas_concentration":36.8854103088379}
2025-01-01 00:01:20 {"sensor_type":"gas","gas_concentration":36.265453338623047}
2025-01-01 00:01:21 {"sensor_type":"gas","gas_concentration":36.368106842041016}
2025-01-01 00:01:22 {"sensor_type":"gas","gas_concentration":36.163066864013672}
2025-01-01 00:01:23 {"sensor_type":"gas","gas_concentration":35.857513427734375}
2025-01-01 00:01:24 {"sensor_type":"gas","gas_concentration":35.655143737792969}
2025-01-01 00:01:25 {"sensor_type":"gas","gas_concentration":35.959098815917969}
2025-01-01 00:01:26 {"sensor_type":"gas","gas_concentration":36.265453338623047}
2025-01-01 00:01:27 {"sensor_type":"gas","gas_concentration":35.959098815917969}
2025-01-01 00:01:28 {"sensor_type":"gas","gas_concentration":36.163066864013672}
2025-01-01 00:01:29 {"sensor_type":"gas","gas_concentration":35.959098815917969}
2025-01-01 00:01:31 {"sensor_type":"gas","gas_concentration":36.060951232910156}
2025-01-01 00:01:32 {"sensor_type":"gas","gas_concentration":36.368106842041016}
2025-01-01 00:01:33 {"sensor_type":"gas","gas_concentration":35.857513427734375}
2025-01-01 00:01:34 {"sensor_type":"gas","gas_concentration":36.265453338623047}
2025-01-01 00:01:35 {"sensor_type":"gas","gas_concentration":35.655143737792969}
2025-01-01 00:01:36 {"sensor_type":"gas","gas_concentration":35.756195068359375}
2025-01-01 00:01:37 {"sensor_type":"gas","gas_concentration":35.756195068359375}
2025-01-01 00:01:38 {"sensor_type":"gas","gas_concentration":35.959098815917969}
2025-01-01 00:01:39 {"sensor_type":"gas","gas_concentration":35.756195068359375}
2025-01-01 00:01:40 {"sensor_type":"gas","gas_concentration":35.0543327331543}
2025-01-01 00:01:41 {"sensor_type":"gas","gas_concentration":35.253559112548828}
2025-01-01 00:01:42 {"sensor_type":"gas","gas_concentration":35.453826904296875}
2025-01-01 00:01:43 {"sensor_type":"gas","gas_concentration":35.655143737792969}
2025-01-01 00:01:44 {"sensor_type":"gas","gas_concentration":35.655143737792969}
2025-01-01 00:01:45 {"sensor_type":"gas","gas_concentration":35.857513427734375}
2025-01-01 00:01:46 {"sensor_type":"gas","gas_concentration":36.163066864013672}
